ligne,rating,themes,plies_historique,nb_coups_legaux,coup_reseau,reussi_reseau,p_correct_reseau,rang_correct_reseau,value_reseau,coup_recherche,reussi_recherche,part_visites_correct,duree_s,erreur
0,1615,crushing discoveredAttack middlegame short,20,37,c1f4,False,0.1725088086254601,2,0.0772814229130745,f3e5,True,0.9528571367263794,6.336704600020312,
2,1817,deflection endgame mate mateIn2 short,78,20,a3f8,True,0.4512267983343789,1,-0.9981061220169067,a3f8,True,0.9800000190734863,0.2363224000146147,
4,1500,endgame mate mateIn2 short,49,28,h6c1,True,0.44306537159756454,1,-0.9009530544281006,h6c1,True,0.9842857122421265,0.1480368000047747,
6,1458,advantage attraction exposedKing fork long middlegame sacrifice,53,31,g7b2,False,0.001396936739789637,23,-0.4989856481552124,g7b2,False,0.0,6.347938700026134,
8,1550,endgame mate mateIn2 queenRookEndgame short,72,24,h7f7,False,0.07561057055020576,4,0.055770646780729294,c7c8,True,0.9571428298950195,0.33995080000022426,
10,1709,attraction endgame mate mateIn4 sacrifice veryLong,58,37,g2g7,True,0.4009111690691678,1,-0.3911488950252533,g2g7,True,0.9800000190734863,0.8646186999976635,
12,1705,crushing deflection endgame long,42,49,d1e1,False,0.06496764018822869,4,-0.8731661438941956,f4h4,True,0.8842856884002686,5.0764053000020795,
14,1887,mate mateIn2 middlegame sacrifice short,47,35,d5e7,False,0.0004726477401423126,6,0.16482503712177277,b7e7,False,0.0,6.194472699979087,
16,1812,crushing endgame fork long quietMove,65,39,c5h5,False,0.009471677974257029,9,0.27825191617012024,c5h5,False,0.0014285714132711291,6.198773099982645,
18,1744,crushing deflection fork master middlegame short,36,39,g4h5,True,0.9146267510840604,1,-0.4124760627746582,g4h5,True,0.9942857027053833,4.556294899986824,
20,1774,crushing discoveredAttack long middlegame,36,38,d1h5,False,0.2210383982928901,2,-0.0479540191590786,c5b7,False,0.009999999776482582,6.98595750000095,
22,1549,endgame mate mateIn2 sacrifice short,55,42,g7g6,False,0.09241071654009145,5,0.9136505722999573,g3h3,True,0.9214285612106323,0.5065573000174481,
24,1452,crushing endgame fork short,82,32,f5f6,True,0.6149843638096203,1,0.3372778594493866,f5f6,True,0.9800000190734863,5.817548400023952,
26,1699,advancedPawn endgame mate mateIn1 oneMove promotion,112,24,h7h8q,True,0.8658985997286591,1,-0.09269090741872787,h7h8q,True,0.9942857027053833,0.05322559998603538,
28,1509,crushing deflection discoveredAttack endgame pin queensideAttack short,54,34,c5a6,True,0.2409051087334283,1,-0.05029158294200897,c5a6,True,0.9700000286102295,2.9356973999820184,
30,1537,crushing endgame fork hangingPiece long,58,27,h4d8,True,0.86673996864134,1,0.0035171809140592813,h4d8,True,0.9971428513526917,6.836311499995645,
32,1825,crushing endgame exposedKing fork long,69,28,g3f3,True,0.6484142346647999,1,-0.36789995431900024,g3f3,True,0.9871428608894348,5.566274799988605,
34,1795,attraction kingsideAttack long mate mateIn3 middlegame sacrifice,41,42,b6h6,False,0.002152648717702373,15,0.5016167163848877,b6d4,False,0.0,5.991620000015246,
36,1640,mate mateIn1 middlegame oneMove,33,29,h6g6,False,0.3181307456598428,2,-0.2625714838504791,h5h3,True,0.9800000190734863,0.1795552000112366,
38,1598,advantage fork long middlegame,68,43,g4h6,True,0.5117937026815017,1,-0.27614229917526245,g4h6,True,0.9585714340209961,6.357731500000227,
40,1595,deflection endgame kingsideAttack long mate mateIn3 sacrifice,49,37,e8e2,False,0.0007113354899016475,21,-0.7945442199707031,e8e2,False,0.0,5.994331300025806,
42,1893,discoveredAttack mate mateIn2 middlegame short,74,40,b2c1,False,0.06495532134837127,6,-0.25929874181747437,d4f5,True,0.9514285922050476,0.5044467000116128,
44,1878,crushing discoveredAttack discoveredCheck hangingPiece long middlegame sacrifice,63,40,c5b5,True,0.9173995249515848,1,0.2828517556190491,c5b5,True,0.977142870426178,5.936808700003894,
46,1798,master mate mateIn1 middlegame oneMove pin,41,41,g5h4,False,0.0002088181345147468,28,0.14297735691070557,g5h4,False,0.0,6.099825099983718,
48,1467,attraction kingsideAttack mate mateIn2 middlegame sacrifice short,31,50,b5e2,False,0.0016500261521178972,16,-0.894320547580719,b5e2,False,0.0,6.279869000019971,
50,1645,advantage middlegame pin short,23,39,g8f6,False,0.023322572628739928,7,0.054519183933734894,f7f5,False,0.06857142597436905,6.828398200013908,
52,1810,exposedKing long mate mateIn3 middlegame queensideAttack,64,40,a1a8,True,0.6972853889314659,1,-0.03161508962512016,a1a8,True,0.9871428608894348,1.2631227999809198,
54,1723,crushing long middlegame pin,66,57,e8f8,True,0.3041903172498138,1,-0.2860308885574341,e8f8,True,0.9757142663002014,1.692440999991959,
56,1503,discoveredAttack discoveredCheck enPassant endgame mate mateIn2 short,66,30,d3e4,True,0.9968395633194633,1,-0.005720954854041338,d3e4,True,0.9985714554786682,0.0602601999999024,
58,1669,crushing discoveredAttack master middlegame short,67,29,d6b4,False,0.341341101855206,2,-0.08426405489444733,c4b3,True,0.9328571557998657,5.255133099999512,
60,1635,advantage fork middlegame veryLong,24,21,d1d4,True,0.5378210514233853,1,-0.07660334557294846,d1d4,True,0.9828571677207947,5.907628799992381,
62,1511,crushing defensiveMove kingsideAttack middlegame pin veryLong,26,47,c2d2,False,0.006042310863326536,18,0.18433412909507751,c2d2,False,0.0,6.326757500006352,
64,1693,crushing middlegame short trappedPiece,40,42,h1h4,True,0.25002234056293604,1,0.3919527530670166,h1h4,True,0.9571428298950195,7.81222640001215,
66,1538,crushing endgame intermezzo long pin sacrifice skewer,74,31,c4d5,False,0.003745942223012003,12,-0.44574061036109924,c4d5,False,0.0,6.593209799990291,
68,1733,advantage attraction fork long middlegame sacrifice,38,41,c4a6,False,0.00021678698371398815,13,-0.5733318328857422,c4a6,False,0.0,5.824757199996384,
70,1673,endgame mate mateIn2 short,65,36,d5a2,True,0.7485946478924635,1,-0.8393352627754211,d5a2,True,0.9900000095367432,0.17663400000310503,
72,1707,advantage capturingDefender long middlegame,56,29,d1d2,False,0.09282519870168267,4,-0.9096564054489136,e1e3,True,0.9657142758369446,5.810526800021762,
74,1813,crushing middlegame short skewer,30,35,g4f4,False,0.17197830201165606,3,0.00024151054094545543,g4h4,True,0.9671428799629211,5.637593999999808,
76,1541,advantage long middlegame skewer,65,36,f3g1,False,0.11860424206120446,4,-0.8737464547157288,f3g1,False,0.12285714596509933,5.893263100006152,
78,1465,advancedPawn endgame mate mateIn1 oneMove promotion,64,20,g1g8,False,0.12461525630460055,2,-0.4757537245750427,h7g8q,True,0.977142870426178,0.15367800000240095,
80,1464,crushing deflection endgame exposedKing rookEndgame veryLong,125,26,h5g5,True,0.5458881227559762,1,-0.039229005575180054,h5g5,True,0.9714285731315613,5.761592299997574,
82,1452,crushing opening short trappedPiece,12,40,e3d2,False,0.12904050741036466,3,-0.0517301969230175,c3a4,True,0.9528571367263794,6.1251397999876644,
84,1868,crushing kingsideAttack long master middlegame pin sacrifice,39,49,b2a3,False,0.05034420983274866,5,0.37941715121269226,e8e3,True,0.9342857003211975,6.388000700011617,
86,1503,anastasiaMate attraction mate mateIn2 middlegame sacrifice short,67,41,g7d4,False,0.000558146056532467,30,-0.8951919078826904,g7e5,False,0.0,6.107226699998137,
88,1499,clearance endgame mate mateIn2 operaMate sacrifice short,69,25,g4f3,True,0.5261103646815269,1,-0.5957365036010742,g4f3,True,0.9814285635948181,0.261549599992577,
90,1463,endgame long mate mateIn3 rookEndgame,89,12,h4g3,True,0.7007524782658919,1,-0.09941036254167557,h4g3,True,0.9900000095367432,0.3399769999959972,
92,1576,attraction kingsideAttack long mate mateIn3 middlegame sacrifice,53,53,c8c1,True,0.5628897759122474,1,-0.09331128746271133,c8c1,True,0.949999988079071,5.878197599988198,
94,1781,crushing kingsideAttack long middlegame xRayAttack,34,42,f5e6,False,0.033950535149170805,3,0.39643049240112305,f5e6,False,0.03999999910593033,7.4999341999937315,
96,1468,advancedPawn crushing deflection endgame promotion rookEndgame short,93,17,d3d2,False,0.13548349982701646,2,-0.7575963735580444,h8h7,True,0.9628571271896362,5.939091299980646,
98,1599,advantage attraction deflection middlegame veryLong,42,40,f1f7,False,0.22558495150007435,3,-0.9133248925209045,d4c6,True,0.9657142758369446,5.829590000008466,
100,1689,crushing endgame fork short,82,25,f5d5,False,0.24193898879590608,2,0.3450780510902405,f5d7,True,0.8057143092155457,5.620799900003476,
102,1508,advantage kingsideAttack middlegame sacrifice short,32,34,h2h4,False,0.24398966229412666,2,0.2450568825006485,f4g6,True,0.808571457862854,6.097203300014371,
